year,quarter,market,is_premium_quality,total_space,available_space,internal_class_rent,direct_available_space,direct_internal_class_rent,sublet_available_space,sublet_internal_class_rent,leasing
2019,Q1,Atlanta,1,103783385,21115998,30.04,18625950,30.43,2490048,24.53,2284138
2019,Q1,Atlanta,0,66290064,12085998,20.39,11135117,20.48,950881,19.01,877328
2019,Q1,Austin,1,38276350,4087849,40.59,3049790,42.62,1038059,32.18,2015649
2019,Q1,Austin,0,27947525,3214837,30.21,2684926,31.30,529911,24.93,662691
2019,Q1,Baltimore,1,41915202,7386483,26.29,6858592,26.39,527891,25.17,568410
2019,Q1,Baltimore,0,40390703,5966268,20.55,5715274,20.59,250994,19.81,333096
2019,Q1,Boston,1,134931259,17618013,40.10,14555051,39.62,3062962,28.53,2054850
2019,Q1,Boston,0,116181082,14328013,19.07,13176365,18.88,1151648,20.94,1219157
2019,Q1,Charlotte,1,37360746,5181042,30.69,4697392,30.88,483650,27.27,871523
2019,Q1,Charlotte,0,27835480,3028884,22.55,2581791,23.53,447093,15.94,350261
2019,Q1,Chicago Suburbs,1,54043122,14913826,27.66,13360744,28.07,1553082,18.50,806254
2019,Q1,Chicago Suburbs,0,46402863,12689128,19.99,11829028,20.25,860100,14.60,567383
2019,Q1,Dallas-Ft. Worth,1,121831325,28082361,26.35,24492413,26.99,3589948,21.27,1864407
2019,Q1,Dallas-Ft. Worth,0,83525774,20864324,21.02,18653139,21.09,2211185,20.26,1295533
2019,Q1,Denver-Boulder,1,54054610,9151769,31.57,7525705,31.89,1626064,29.25,1197739
2019,Q1,Denver-Boulder,0,57339667,9615722,25.36,8544215,25.58,1071507,21.99,838863
2019,Q1,Detroit,1,34423167,6468782,22.87,5571063,22.93,897719,22.30,330192
2019,Q1,Detroit,0,47272239,9923190,17.94,9324971,18.01,598219,17.03,395577
2019,Q1,Downtown Chicago,1,69282348,9828841,46.36,,,,,2783208
2019,Q1,Downtown Chicago,0,72550855,12584812,36.91,,,,,1136938
2019,Q1,Houston,1,114154896,30940100,34.01,25701259,35.20,5238841,22.36,2075406
2019,Q1,Houston,0,78051358,18907642,20.39,17989257,20.59,918385,15.70,924674
2019,Q1,Los Angeles,1,145161984,24327250,41.34,21331331,42.21,2995919,35.50,3506703
2019,Q1,Los Angeles,0,69091917,13107823,34.61,12005296,34.66,1102527,31.49,1125497
2019,Q1,Nashville,1,21176858,3054504,30.29,2403895,30.84,650609,24.36,382715
2019,Q1,Nashville,0,22248695,2335085,25.66,2076429,26.11,258656,23.21,235930
2019,Q1,Manhattan,1,247474127,28379040,87.44,22724341,91.08,5654699,61.43,5136768
2019,Q1,Manhattan,0,200026077,19068529,61.49,14984686,62.29,4083843,55.96,3615343
2019,Q1,Northern New Jersey,1,112387880,27893640,29.65,23531270,29.65,4362370,29.39,1414440
2019,Q1,Northern New Jersey,0,33272191,6516782,24.12,6215429,24.20,301353,21.91,444391
2019,Q1,Northern Virginia,1,99352734,22845152,34.96,20715885,35.66,2129267,28.37,1689517
2019,Q1,Northern Virginia,0,50820827,10196510,29.25,9537042,29.48,659468,24.95,738724
2019,Q1,Orange County (CA),1,44186205,9118481,39.24,7811917,40.38,1306564,33.60,725952
2019,Q1,Orange County (CA),0,40699406,6487632,30.39,5596797,31.16,890835,26.12,765821
2019,Q1,Philadelphia,1,85439454,14574906,29.32,12371657,29.61,2203249,23.92,1018009
2019,Q1,Philadelphia,0,45393669,8680659,25.92,7926762,26.09,753897,22.80,749912
2019,Q1,Phoenix,1,46830789,8860390,31.21,7725833,31.46,1134557,28.78,839180
2019,Q1,Phoenix,0,55988187,11015797,23.72,10350771,23.85,665026,20.09,550756
2019,Q1,Raleigh-Durham,1,33374855,4440595,27.28,3777190,27.32,663405,23.29,529772
2019,Q1,Raleigh-Durham,0,20154116,2677199,22.07,2486473,22.10,190726,18.81,404864
2019,Q1,Salt Lake City,1,20101852,1782779,27.63,1544029,28.63,238750,21.81,225110
2019,Q1,Salt Lake City,0,24556347,2306836,21.11,2094951,21.07,211885,20.15,204645
2019,Q1,San Diego,1,30551450,5276702,38.47,4582148,39.14,694554,32.07,679839
2019,Q1,San Diego,0,33324242,5328283,30.82,4551885,31.39,776398,27.14,357977
2019,Q1,San Francisco,1,47068865,3645972,77.64,2716036,79.09,929936,71.30,1959301
2019,Q1,San Francisco,0,30075338,2276657,69.99,1678875,68.94,597782,72.73,707429
2019,Q1,Seattle,1,60747381,7121956,46.27,5958218,46.94,1163738,40.87,1000872
2019,Q1,Seattle,0,51974773,7000444,28.77,6052764,28.62,947680,29.64,720846
2019,Q1,South Bay,1,33609818,4903303,56.57,2812049,61.33,2091254,50.10,1176751
2019,Q1,South Bay,0,50743623,6037657,50.21,4771939,49.85,1265718,51.93,549638
2019,Q1,South Florida,1,51924594,9040750,38.46,7733975,39.30,1306775,30.26,852475
2019,Q1,South Florida,0,51137809,8288581,28.95,7570366,29.12,718215,25.02,647374
2019,Q1,Suburban Maryland,1,39440176,8831204,28.92,7778795,29.22,1052409,24.47,762150
2019,Q1,Suburban Maryland,0,21724704,3849929,25.73,3587527,25.96,262402,25.22,231904
2019,Q1,Tampa,1,22886282,2840470,30.95,2329872,31.41,510598,23.76,492660
2019,Q1,Tampa,0,28107216,4472578,21.13,4118652,21.25,353926,19.40,579947
2019,Q1,US National,1,2025236351,352930753,38.76,,,,,40875857
2019,Q1,US National,0,1538284998,250550889,29.10,,,,,21738284
2019,Q1,Washington DC,1,79464637,11218595,58.49,,,,,1631867
2019,Q1,Washington DC,0,45158251,7695090,50.01,,,,,505785
2019,Q2,Atlanta,1,103866928,20867317,29.94,18391134,30.53,2476183,23.28,1532604
2019,Q2,Atlanta,0,66344064,11343275,20.72,10504355,20.82,838920,19.20,687805
2019,Q2,Austin,1,38276350,3751832,41.40,2831929,43.15,919903,33.97,1194099
2019,Q2,Austin,0,27947525,3295636,30.71,2737010,31.67,558626,25.51,487384
2019,Q2,Baltimore,1,41915202,7204407,26.53,6565679,26.52,638728,26.80,419460
2019,Q2,Baltimore,0,40390703,6092270,20.31,5885356,20.37,206914,18.87,227114
2019,Q2,Boston,1,135145149,18038525,42.11,14333594,41.17,3704931,42.80,2986422
2019,Q2,Boston,0,116276482,14248686,23.01,13181854,22.99,1066832,21.63,988837
2019,Q2,Charlotte,1,37398747,4768532,31.39,4321826,31.59,446706,27.78,2279759
2019,Q2,Charlotte,0,27835480,2971476,23.10,2635641,23.23,335835,21.93,147074
2019,Q2,Chicago Suburbs,1,52799639,13766770,27.47,11830166,27.96,1936604,19.38,907751
2019,Q2,Chicago Suburbs,0,46402863,12329988,19.70,11496711,19.95,833277,14.79,593798
2019,Q2,Dallas-Ft. Worth,1,121831325,29532652,26.61,26253270,27.20,3279382,21.28,2064234
2019,Q2,Dallas-Ft. Worth,0,83525774,20244675,21.11,18563715,21.18,1680960,20.26,1715219
2019,Q2,Denver-Boulder,1,54406531,9170494,31.65,7565026,32.00,1605468,29.39,1169075
2019,Q2,Denver-Boulder,0,57339667,9646431,24.42,8383132,24.63,1263299,22.49,879067
2019,Q2,Detroit,1,34423167,6442755,22.83,5440825,23.06,1001930,20.86,212476
2019,Q2,Detroit,0,47272239,9845411,18.17,9402095,18.30,443316,16.60,281138
2019,Q2,Downtown Chicago,1,69582572,9731896,46.29,,,,,1601175
2019,Q2,Downtown Chicago,0,73248307,13349598,37.17,,,,,1511295
2019,Q2,Houston,1,114154896,31422614,33.20,25698391,34.35,5724223,23.92,2368459
2019,Q2,Houston,0,78051358,18888576,20.63,18073026,20.84,815550,15.85,1049916
2019,Q2,Los Angeles,1,145540870,24064419,43.90,20869068,44.65,3195351,37.04,3669979
2019,Q2,Los Angeles,0,69712027,13052839,34.99,12028251,35.37,1024588,29.08,1673825
2019,Q2,Nashville,1,21176858,3239985,32.01,2620418,32.54,619567,24.62,556031
2019,Q2,Nashville,0,22248695,2434912,25.93,2162797,26.32,272115,23.68,218857
2019,Q2,Manhattan,1,247656127,28877539,90.72,23135952,95.18,5741587,57.71,7781169
2019,Q2,Manhattan,0,200026077,18165113,61.40,14086664,61.72,4078449,57.21,3477494
2019,Q2,Northern New Jersey,1,112389052,27583817,29.70,22908736,29.75,4675081,29.11,1203461
2019,Q2,Northern New Jersey,0,33272191,5723088,23.57,5390008,23.62,333080,21.88,268216
2019,Q2,Northern Virginia,1,99808997,21917539,36.19,19885391,36.74,2032148,31.13,2047241
2019,Q2,Northern Virginia,0,50820827,9668985,29.21,9169755,29.42,499230,25.52,1268590
2019,Q2,Orange County (CA),1,44186205,9060495,39.83,7644493,40.94,1416002,34.20,1340932
2019,Q2,Orange County (CA),0,40699406,6062170,30.97,5224221,31.57,837949,27.26,1097731
2019,Q2,Philadelphia,1,85439454,14512127,29.47,12109183,30.10,2402944,25.44,1574637
2019,Q2,Philadelphia,0,45393669,8085258,25.50,7304579,25.81,780679,20.17,335714
2019,Q2,Phoenix,1,46909615,8584378,31.32,7878449,31.64,705929,26.45,1150900
2019,Q2,Phoenix,0,55988187,10389845,24.04,9732121,24.10,657724,21.96,923654
2019,Q2,Raleigh-Durham,1,33524697,4461679,27.76,3878078,27.49,583601,31.07,735147
2019,Q2,Raleigh-Durham,0,20154116,2576694,22.94,2444433,22.98,132261,21.63,195745
2019,Q2,Salt Lake City,1,20281852,2108400,29.36,1795527,30.57,312873,22.27,244064
2019,Q2,Salt Lake City,0,24556347,2291990,21.40,2102298,21.46,189692,18.58,201989
2019,Q2,San Diego,1,30643491,5032300,38.81,4430362,39.81,601938,30.92,728137
2019,Q2,San Diego,0,33244483,5642059,31.87,4604496,32.14,1037563,30.74,375570
2019,Q2,San Francisco,1,47195402,3372467,85.18,2301910,86.20,1070557,83.67,1792394
2019,Q2,San Francisco,0,29852718,2327807,71.24,1788676,70.84,539131,72.65,708225
2019,Q2,Seattle,1,60747381,6913905,45.94,5685464,46.65,1228441,40.59,2143476
2019,Q2,Seattle,0,51974773,6729388,28.79,5658082,28.66,1071306,29.44,655683
2019,Q2,South Bay,1,33892424,5117407,63.45,3460392,68.67,1657015,48.69,713726
2019,Q2,South Bay,0,50690473,5568912,51.90,4603517,50.65,965395,56.75,1330701
2019,Q2,South Florida,1,52962232,8806353,39.29,7704812,40.05,1101541,30.26,1087404
2019,Q2,South Florida,0,51200215,7908317,29.17,7238773,29.44,669544,24.12,1061940
2019,Q2,Suburban Maryland,1,39440176,8803031,30.04,7758516,30.14,1044515,28.00,699506
2019,Q2,Suburban Maryland,0,21724704,3617263,25.73,3404738,25.96,212525,25.11,222979
2019,Q2,Tampa,1,22963818,3307252,30.22,2707956,30.85,599296,26.29,372641
2019,Q2,Tampa,0,28107216,4666001,21.10,4074222,21.28,591779,19.01,276653
2019,Q2,US National,1,2027642856,351657362,39.46,,,,,46876546
2019,Q2,US National,0,1539321200,244775257,29.30,,,,,23779073
2019,Q2,Washington DC,1,79083699,11196475,59.17,9721725,61.46,1474750,43.22,2300187
2019,Q2,Washington DC,0,45020614,7608594,50.03,6850787,51.13,757807,38.37,916860
2019,Q3,Atlanta,1,104066928,21963230,30.34,19453309,30.97,2509921,22.83,2073324
2019,Q3,Atlanta,0,66344064,11485679,20.99,10537334,21.11,948345,19.43,561818
