,id,address,latitude,longitude
0,Atlanta_Central Perimeter_Atlanta_10 Glenlake North Tower_10 Glenlake Pky NE,"10 Glenlake Pky NE, Atlanta, GA 30328",33.936269,-84.361239
1,Atlanta_Northwest_Atlanta_100 City View_3330 Cumberland Blvd,"3330 Cumberland Blvd, Atlanta, GA 30339",33.873792,-84.458516
2,Atlanta_Northwest_Atlanta_1000 Parkwood_1000 Parkwood Cir SE,"1000 Parkwood Cir SE, Atlanta, GA 30339",33.901861,-84.459599
3,Atlanta_Northwest_Atlanta_1100 Circle 75_1100 Circle 75 Pky SE,"1100 Circle 75 Pky SE, Atlanta, GA 30339",33.889732,-84.465435
4,Atlanta_Central Perimeter_Atlanta_1200 Ashwood_1200 Ashwood Pky,"1200 Ashwood Pky, Atlanta, GA 30338",33.933749,-84.34057
6,Atlanta_Northeast_Peachtree Corners_2 Sun_2 Sun Ct,"2 Sun Ct, Peachtree Corners, GA 30092",33.968162,-84.227072
7,Atlanta_Central Perimeter_Atlanta_200 Ashford Center North_200 Ashford Ctr N,"200 Ashford Ctr N, Atlanta, GA 30338",33.942516,-84.336443
8,Atlanta_Midtown_Atlanta_271 17th_271 17th St NW,"271 17th St NW, Atlanta, GA 30363",33.791678,-84.395741
10,Atlanta_Northeast_Gainesville_311 Green Street_311 Green St NW,"311 Green St NW, Gainesville, GA 30501",34.302425,-83.826631
11,Atlanta_Northlake_Decatur_315 West Ponce_315 W Ponce De Leon Ave,"315 W Ponce De Leon Ave, Decatur, GA 30030",33.776337,-84.300513
12,Atlanta_Central Perimeter_Atlanta_500 Northpark_1100 Abernathy Rd NE,"1100 Abernathy Rd NE, Atlanta, GA 30328",33.933964,-84.352766
13,Atlanta_Northwest_Atlanta_900 Circle 75_900 Circle 75 Pky SE,"900 Circle 75 Pky SE, Atlanta, GA 30339",33.887394,-84.467882
14,Atlanta_Downtown_Atlanta_Bank of America Plaza_600 Peachtree St NE,"600 Peachtree St NE, Atlanta, GA 30308",33.770792,-84.387937
15,Atlanta_Central Perimeter_Atlanta_Bldg 1_5825 Glenridge Dr NE,"5825 Glenridge Dr NE, Atlanta, GA 30328",33.914889,-84.361006
16,Atlanta_Northeast_Peachtree Corners_Bldg 100_3850 Holcomb Bridge Rd,"3850 Holcomb Bridge Rd, Peachtree Corners, GA 30092",33.963715,-84.25081
