,y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi,y2_fips,fips_code,name,lng,lat
0,6,37,6,59,CA,Orange County,21267,34853,2384364,6059,6059,Orange,-117.760976,33.70311134
1,6,37,6,71,CA,San Bernardino County,20446,39796,1292375,6071,6071,San Bernardino,-116.1783784,34.84157876
2,6,37,6,65,CA,Riverside County,13038,24863,1070710,6065,6065,Riverside,-115.9939021,33.74329781
3,6,37,32,3,NV,Clark County,7187,12189,635944,32003,32003,Clark,-115.0146087,36.21511541
4,6,37,6,111,CA,Ventura County,6858,11873,1124224,6111,6111,Ventura,-119.0848457,34.45474678
5,6,37,6,73,CA,San Diego County,6638,9731,892433,6073,6073,San Diego,-116.7353982,33.03386576
6,6,37,6,29,CA,Kern County,4234,8858,231252,6029,6029,Kern,-118.72959,35.34292819
7,6,37,4,13,AZ,Maricopa County,4188,7181,419751,4013,4013,Maricopa,-112.4908888,33.34875974
8,6,37,53,33,WA,King County,2616,3522,367730,53033,53033,King,-121.8063614,47.49034831
9,6,37,6,85,CA,Santa Clara County,2388,3209,546738,6085,6085,Santa Clara,-121.6951016,37.23169965
10,6,37,36,61,NY,New York County,2290,2697,412947,36061,36061,New York,-73.97166722,40.7721053
11,6,37,6,1,CA,Alameda County,2039,2788,209496,6001,6001,Alameda,-121.888612,37.64642367
12,6,37,6,75,CA,San Francisco County,1906,2200,288938,6075,6075,San Francisco,-122.4396708,37.75668116
13,6,37,48,201,TX,Harris County,1719,3052,144679,48201,48201,Harris,-95.39302715,29.85748873
14,6,37,17,31,IL,Cook County,1628,2252,165150,17031,17031,Cook,-87.81698762,41.84005007
15,6,37,36,47,NY,Kings County,1571,1839,189365,36047,36047,Kings,-73.93708255,40.63562226
16,6,37,48,453,TX,Travis County,1455,2053,278105,48453,48453,Travis,-97.78169164,30.33471479
17,6,37,6,67,CA,Sacramento County,1391,2069,102934,6067,6067,Sacramento,-121.3445212,38.44881725
18,6,37,48,113,TX,Dallas County,1250,2031,259676,48113,48113,Dallas,-96.77788947,32.76665041
19,6,37,12,86,FL,Miami-Dade County,1166,1665,205905,12086,12086,Miami-Dade,-80.55914415,25.61511557
20,6,37,6,83,CA,Santa Barbara County,1126,1664,220693,6083,6083,Santa Barbara,-120.0150919,34.67142103
21,6,37,41,51,OR,Multnomah County,1121,1499,92074,41051,41051,Multnomah,-122.4157429,45.54693681
22,6,37,48,439,TX,Tarrant County,1074,2054,88578,48439,48439,Tarrant,-97.29099289,32.77145377
23,6,37,6,81,CA,San Mateo County,955,1289,126662,6081,6081,San Mateo,-122.328899,37.42298018
24,6,37,48,85,TX,Collin County,954,2048,104326,48085,48085,Collin,-96.57266803,33.18822716
25,6,37,48,29,TX,Bexar County,849,1611,63720,48029,48029,Bexar,-98.52016013,29.44911665
26,6,37,6,13,CA,Contra Costa County,837,1270,101370,6013,6013,Contra Costa,-121.9281273,37.91933375
27,6,37,6,19,CA,Fresno County,817,1487,49176,6019,6019,Fresno,-119.6506833,36.75807672
28,6,37,8,31,CO,Denver County,732,935,80109,8031,8031,Denver,-104.8760248,39.76129114
29,6,37,49,35,UT,Salt Lake County,725,1237,60830,49035,49035,Salt Lake,-111.9241028,40.66728813
30,6,37,15,3,HI,Honolulu County,715,1113,77313,15003,15003,Honolulu,-157.9746934,21.45879706
31,6,37,47,37,TN,Davidson County,704,1037,164535,47037,47037,Davidson,-86.78502875,36.16932462
32,6,37,4,19,AZ,Pima County,703,1152,79907,4019,4019,Pima,-111.7896381,32.09723099
33,6,37,13,121,GA,Fulton County,698,1082,86928,13121,13121,Fulton,-84.46714878,33.79038574
34,6,37,6,79,CA,San Luis Obispo County,688,1047,79951,6079,6079,San Luis Obispo,-120.4042917,35.38707354
35,6,37,48,121,TX,Denton County,643,1330,76073,48121,48121,Denton,-97.11685878,33.20528167
36,6,37,12,11,FL,Broward County,604,948,67556,12011,12011,Broward,-80.48723143,26.15220703
37,6,37,4,15,AZ,Mohave County,599,1023,56264,4015,4015,Mohave,-113.7581706,35.70456821
38,6,37,25,17,MA,Middlesex County,571,819,78409,25017,25017,Middlesex,-71.39262102,42.48584344
39,6,37,12,99,FL,Palm Beach County,553,913,115442,12099,12099,Palm Beach,-80.46503899,26.64741122
40,6,37,36,81,NY,Queens County,550,704,45995,36081,36081,Queens,-73.81734511,40.70829859
41,6,37,12,95,FL,Orange County,544,950,78436,12095,12095,Orange,-81.32311592,28.51429239
42,6,37,11,1,DC,District of Columbia,535,639,76537,11001,11001,District of Columbia,-77.01629654,38.90478149
43,6,37,16,1,ID,Ada County,527,1050,58446,16001,16001,Ada,-116.241035,43.45084054
44,6,37,48,491,TX,Williamson County,519,1012,57083,48491,48491,Williamson,-97.60120361,30.64812769
45,6,37,6,107,CA,Tulare County,509,1018,26554,6107,6107,Tulare,-118.8004216,36.22081997
46,6,37,41,67,OR,Washington County,505,756,39763,41067,41067,Washington,-123.0985728,45.55989124
47,6,37,53,53,WA,Pierce County,476,808,42307,53053,53053,Pierce,-122.1122121,47.02680625
48,6,37,8,41,CO,El Paso County,474,824,38324,8041,8041,El Paso,-104.5257538,38.83242336
49,6,37,32,31,NV,Washoe County,468,730,62689,32031,32031,Washoe,-119.6643222,40.66566815
50,6,37,4,25,AZ,Yavapai County,455,752,48375,4025,4025,Yavapai,-112.5538467,34.59969928
51,6,37,51,59,VA,Fairfax County,445,727,81030,51059,51059,Fairfax,-77.27651017,38.83620791
52,6,37,37,119,NC,Mecklenburg County,422,682,46845,37119,37119,Mecklenburg,-80.83268027,35.24675454
53,6,37,48,141,TX,El Paso County,414,717,20757,48141,48141,El Paso,-106.2352418,31.76884214
54,6,37,6,97,CA,Sonoma County,396,575,42179,6097,6097,Sonoma,-122.8872965,38.52842052
55,6,37,53,61,WA,Snohomish County,396,606,34892,53061,53061,Snohomish,-121.6977603,48.04772437
56,6,37,4,21,AZ,Pinal County,393,740,30576,4021,4021,Pinal,-111.34488,32.90415087
57,6,37,53,11,WA,Clark County,393,643,57858,53011,53011,Clark,-122.4823115,45.77919832
58,6,37,25,25,MA,Suffolk County,389,454,41066,25025,25025,Suffolk,-71.07033478,42.33340065
59,6,37,6,53,CA,Monterey County,373,567,39512,6053,6053,Monterey,-121.2387503,36.21711865
60,6,37,42,101,PA,Philadelphia County,372,464,29072,42101,42101,Philadelphia,-75.13324284,40.00806441
61,6,37,8,5,CO,Arapahoe County,365,602,44277,8005,8005,Arapahoe,-104.3385011,39.649919
62,6,37,37,183,NC,Wake County,356,662,42538,37183,37183,Wake,-78.65050164,35.78982367
63,6,37,6,61,CA,Placer County,352,611,36101,6061,6061,Placer,-120.717846,39.06347097
64,6,37,12,57,FL,Hillsborough County,349,577,50740,12057,12057,Hillsborough,-82.30867294,27.92948052
65,6,37,13,135,GA,Gwinnett County,344,663,20131,13135,13135,Gwinnett,-84.02400746,33.9614268
66,6,37,12,103,FL,Pinellas County,343,543,63097,12103,12103,Pinellas,-82.73164012,27.92895178
67,6,37,48,339,TX,Montgomery County,339,731,37820,48339,48339,Montgomery,-95.50331613,30.30019889
68,6,37,34,17,NJ,Hudson County,334,422,31701,34017,34017,Hudson,-74.07753388,40.73476975
69,6,37,48,157,TX,Fort Bend County,332,671,28979,48157,48157,Fort Bend,-95.77093789,29.52747353
70,6,37,6,77,CA,San Joaquin County,326,575,20744,6077,6077,San Joaquin,-121.2712102,37.9345275
71,6,37,27,53,MN,Hennepin County,323,473,29241,27053,27053,Hennepin,-93.47715121,45.00479678
72,6,37,35,1,NM,Bernalillo County,323,496,22901,35001,35001,Bernalillo,-106.6705759,35.05121905
